identifier,predicted to frameshift?,predicted probability,predicted %GFP
42002,yes,0.722678184509,2.60349655151
45115,no,0.314665108919,1.93190920353
42966,yes,0.684967756271,2.93614840508
40604,yes,0.523461401463,3.05459332466
39419,yes,0.509728729725,1.79667913914
44747,yes,0.615351378918,2.0151014328
41033,yes,0.722678184509,2.60349655151
44853,no,0.458071291447,2.02316999435
42903,yes,0.684967756271,2.93614840508
38925,yes,0.509728729725,1.79667913914
38904,yes,0.509728729725,1.79667913914
41974,yes,0.722678184509,2.60349655151
42129,yes,0.547065198421,2.57764029503
45543,no,0.0561162307858,1.01463794708
43577,yes,0.722635388374,2.58054113388
44122,no,0.311858594418,1.44811892509
42993,yes,0.684967756271,2.93614840508
42895,yes,0.684967756271,2.93614840508
40721,yes,0.547065198421,2.57764029503
45239,no,0.391652911901,1.4165995121
42106,yes,0.547065198421,2.57764029503
45931,yes,0.804986536503,2.45783138275
42946,yes,0.684967756271,2.93614840508
45768,no,0.21251784265,1.19060385227
44565,yes,0.647307574749,2.67335224152
45268,no,0.392585784197,1.56791496277
38916,yes,0.509728729725,1.79667913914
39868,no,0.151394799352,1.18816828728
47054,no,0.281386762857,1.05308556557
43001,yes,0.684967756271,2.93614840508
42085,yes,0.547065198421,2.57764029503
